第0001课 | 极限定义 的定义/核心思想是什么？	理解了极限的严格定义，做了 5 道证明题。	lesson-0001,AP-Calculus-BC
第0001课 | 关于「极限定义」，你学到的关键点是？	理解了极限的严格定义，做了 5 道证明题	lesson-0001,AP-Calculus-BC
第0002课 | 连续性 的定义/核心思想是什么？	掌握了连续的三种类型，能判断简单函数的连续性。	lesson-0002,AP-Calculus-BC
第0002课 | 关于「连续性」，你学到的关键点是？	掌握了连续的三种类型，能判断简单函数的连续性	lesson-0002,AP-Calculus-BC
第0003课 | 导数定义 的定义/核心思想是什么？	从极限推导导数，理解了瞬时变化率的含义。	lesson-0003,AP-Calculus-BC
第0003课 | 关于「导数定义」，你学到的关键点是？	从极限推导导数，理解了瞬时变化率的含义	lesson-0003,AP-Calculus-BC
第0004课 | 求导法则 的定义/核心思想是什么？	学习了链式法则、乘积法则、商法则，做了 10 道综合题。	lesson-0004,AP-Calculus-BC
第0004课 | 关于「求导法则」，你学到的关键点是？	学习了链式法则、乘积法则、商法则，做了 10 道综合题	lesson-0004,AP-Calculus-BC
第0005课 | 隐函数求导 的定义/核心思想是什么？	掌握了隐函数求导方法，理解了 dy/dx 的意义。	lesson-0005,AP-Calculus-BC
第0005课 | 关于「隐函数求导」，你学到的关键点是？	掌握了隐函数求导方法，理解了 dy/dx 的意义	lesson-0005,AP-Calculus-BC
第0001课「极限」| 请用自己的话解释你学到了什么。	今天终于理解了 ε-δ 定义的精髓：用 quantifier 的语言说"想多近就多近"	lesson-0001,AP-Calculus-BC
第0001课「极限」| 极限 有什么具体例子或细节？	三笠的解释很清楚	lesson-0001,AP-Calculus-BC
第0002课「连续性」| 请用自己的话解释你学到了什么。	连续就是"不断"，没有跳点	lesson-0002,AP-Calculus-BC
第0002课「连续性」| 连续性 有什么具体例子或细节？	直观上很好理解，但证明题还是有点绕	lesson-0002,AP-Calculus-BC
第0003课「导数」| 请用自己的话解释你学到了什么。	导数就是切线斜率	lesson-0003,AP-Calculus-BC
第0003课「导数」| 导数 有什么具体例子或细节？	理解了 dy/dx 是一个比值，而不是分数	lesson-0003,AP-Calculus-BC
第0004课「求导法则」| 请用自己的话解释你学到了什么。	链式法则的逻辑很优雅：复合函数的导数是内层导数乘外层导数	lesson-0004,AP-Calculus-BC
第0004课「求导法则」| 求导法则 有什么具体例子或细节？	乘积法则那个"前导后不导+前不导后导"的口诀很有用	lesson-0004,AP-Calculus-BC
第0005课「隐函数求导」| 请用自己的话解释你学到了什么。	隐函数求导最关键的一步是两边同时对 x 求导，然后整理出 dy/dx	lesson-0005,AP-Calculus-BC
第0005课「隐函数求导」| 隐函数求导 有什么具体例子或细节？	今天做了一道求切线斜率的题，做对了	lesson-0005,AP-Calculus-BC